game_id,season,week,home_team,away_team,result,spread_line,H_points_scored_avg,H_points_allowed_avg,H_total_yards_avg,H_total_yards_allowed_avg,H_rush_yards_avg,H_rush_yards_allowed_avg,H_pass_yards_avg,H_pass_yards_allowed_avg,H_turnovers_taken_avg,H_turnovers_lost_avg,H_points_scored_streak,H_points_allowed_streak,H_total_yards_streak,H_total_yards_allowed_streak,H_rush_yards_streak,H_rush_yards_allowed_streak,H_pass_yards_streak,H_pass_yards_allowed_streak,H_turnovers_taken_streak,H_turnovers_lost_streak,H_win_pct,H_win_pct_streak,H_computed_strength,A_points_scored_avg,A_points_allowed_avg,A_total_yards_avg,A_total_yards_allowed_avg,A_rush_yards_avg,A_rush_yards_allowed_avg,A_pass_yards_avg,A_pass_yards_allowed_avg,A_turnovers_taken_avg,A_turnovers_lost_avg,A_points_scored_streak,A_points_allowed_streak,A_total_yards_streak,A_total_yards_allowed_streak,A_rush_yards_streak,A_rush_yards_allowed_streak,A_pass_yards_streak,A_pass_yards_allowed_streak,A_turnovers_taken_streak,A_turnovers_lost_streak,A_win_pct,A_win_pct_streak,A_computed_strength
2015_06_MIA_TEN,2015,6,TEN,MIA,-28,2.5,25.5,22.75,350.75,283.5,118.75,117.0,255.0,188.75,1.0,1.75,25.5,22.75,350.75,283.5,118.75,117.0,255.0,188.75,1.0,1.75,0.25,0.25,0.01842451381777741,16.25,25.25,315.25,399.5,69.25,160.5,270.0,241.0,0.75,1.5,16.25,25.25,315.25,399.5,69.25,160.5,270.0,241.0,0.75,1.5,0.25,0.25,0.019401010461624665
2015_07_BAL_ARI,2015,7,ARI,BAL,8,10.0,33.833333333333336,19.166666666666668,405.6666666666667,328.6666666666667,121.5,104.5,291.1666666666667,231.16666666666666,2.1666666666666665,1.3333333333333333,31.0,18.25,426.75,307.25,123.5,116.0,313.75,197.75,2.5,1.5,0.6666666666666666,0.5,0.03980947410666658,23.833333333333332,27.0,369.5,381.0,111.16666666666667,94.5,267.0,305.0,0.6666666666666666,1.5,24.25,26.5,387.75,404.75,121.25,100.25,275.25,326.0,0.5,1.25,0.16666666666666666,0.25,0.03166641511881826
2015_07_PHI_CAR,2015,7,CAR,PHI,11,3.0,27.0,18.8,334.2,338.0,132.8,96.6,215.6,253.0,2.2,1.0,28.75,21.25,352.0,356.25,139.75,96.75,225.75,270.5,2.0,1.0,1.0,1.0,0.03194840044778977,24.0,18.333333333333332,353.8333333333333,354.8333333333333,104.0,94.16666666666667,260.1666666666667,277.1666666666667,2.6666666666666665,2.3333333333333335,27.5,16.0,374.5,343.75,138.5,87.75,250.25,274.25,3.0,2.25,0.5,0.75,0.045242075396075374
2015_07_MIN_DET,2015,7,DET,MIN,-9,1.0,20.0,28.666666666666668,358.6666666666667,387.1666666666667,66.5,120.66666666666667,300.1666666666667,281.8333333333333,1.5,2.6666666666666665,19.0,28.25,381.75,372.5,73.0,107.25,317.25,283.75,1.25,2.75,0.16666666666666666,0.25,0.02191269557796745,19.2,16.6,305.6,351.8,126.0,111.8,204.6,251.0,1.6,1.2,23.25,15.75,320.0,341.0,139.75,82.25,198.0,272.5,2.0,1.25,0.6,0.75,0.028707674507185692
2015_07_NO_IND,2015,7,IND,NO,-6,5.5,21.0,24.5,347.5,401.8333333333333,96.66666666666667,112.66666666666667,260.0,296.3333333333333,1.0,1.8333333333333333,26.25,25.0,359.0,431.25,105.75,107.0,266.75,334.75,1.25,1.0,0.5,0.75,0.023215274525669457,22.333333333333332,27.333333333333332,387.0,409.6666666666667,84.66666666666667,138.16666666666666,321.0,283.8333333333333,1.3333333333333333,1.6666666666666667,24.0,26.75,397.75,424.5,87.5,142.5,329.0,297.25,1.25,1.5,0.3333333333333333,0.5,0.033238750207268374
2015_07_BUF_JAX,2015,7,JAX,BUF,3,-3.5,18.833333333333332,29.333333333333332,350.6666666666667,366.5,92.66666666666667,101.66666666666667,271.6666666666667,279.3333333333333,0.5,1.5,20.25,34.0,360.75,387.5,84.25,115.75,293.5,285.5,0.5,1.5,0.16666666666666666,0.0,0.017284466043204223,24.166666666666668,23.166666666666668,334.8333333333333,357.0,125.33333333333333,87.16666666666667,227.33333333333334,274.6666666666667,1.5,1.0,21.5,21.25,329.5,332.25,111.25,100.75,231.75,234.75,1.25,0.75,0.5,0.5,0.029113951197076948
2015_07_PIT_KC,2015,7,KC,PIT,10,4.0,21.166666666666668,26.5,341.3333333333333,373.5,101.0,96.16666666666667,262.1666666666667,290.8333333333333,1.0,1.1666666666666667,19.0,27.0,351.0,386.0,90.5,104.5,284.75,288.75,0.75,0.75,0.16666666666666666,0.0,0.0266288544719155,24.166666666666668,18.0,350.6666666666667,376.8333333333333,123.83333333333333,93.33333333333333,241.83333333333334,298.6666666666667,1.5,0.5,20.25,15.5,295.25,372.25,131.25,92.25,182.75,292.25,2.0,0.5,0.6666666666666666,0.75,0.043625805491541776
2015_07_HOU_MIA,2015,7,MIA,HOU,18,4.5,20.6,22.2,339.0,379.4,91.4,141.0,269.2,249.2,1.4,1.6,21.5,25.25,359.75,387.0,95.75,136.0,280.0,262.5,1.25,1.75,0.4,0.25,0.021630617980221485,21.333333333333332,25.833333333333332,394.1666666666667,348.8333333333333,96.0,109.0,307.1666666666667,249.83333333333334,0.8333333333333334,1.6666666666666667,22.75,26.0,416.75,353.25,104.25,96.25,316.25,265.25,1.0,1.75,0.3333333333333333,0.5,0.022615604698258965
2015_07_NYJ_NE,2015,7,NE,NYJ,7,7.0,36.6,20.6,422.4,356.4,97.2,114.6,339.8,266.8,1.4,0.6,38.75,20.5,437.75,329.0,101.5,109.75,352.75,245.75,1.5,0.75,1.0,1.0,0.039888945953534115,25.8,15.0,379.8,269.2,146.0,82.6,235.4,198.6,2.8,2.2,24.5,16.25,391.5,256.25,144.0,77.25,249.5,190.5,2.5,2.25,0.8,0.75,0.03599943674021665
2015_07_DAL_NYG,2015,7,NYG,DAL,7,3.0,23.166666666666668,22.666666666666668,352.1666666666667,392.3333333333333,89.5,93.5,267.0,308.5,2.0,1.0,23.25,21.25,360.0,379.0,85.25,106.25,280.25,283.0,2.25,1.25,0.5,0.75,0.03722778653074335,20.2,26.2,348.4,349.0,106.6,95.2,257.8,266.4,0.6,1.6,18.5,26.25,326.5,365.0,113.25,94.25,233.25,285.75,0.75,1.25,0.4,0.25,0.03148278992937167
